"primary"	"secondary"	"symbol"
"1"	"102637099"	""	""
"2"	"Clul1"	""	""
"3"	"ENSMUSG00000076940"	""	""
"4"	"ENSMUSG00000078673"	""	""
"5"	"ENSMUSG00000102805"	""	""
"6"	"ENSMUSG00000104824"	""	""
"7"	"ENSMUSG00000105204"	""	""
"8"	"ENSMUSG00000105630"	""	""
"9"	"ENSMUSG00000105993"	""	""
"10"	"ENSMUSG00000106445"	""	""
"11"	"ENSMUSG00000106627"	""	""
"12"	"ENSMUSG00000108367"	""	""
"13"	"ENSMUSG00000108841"	""	""
"14"	"ENSMUSG00000108995"	""	""
"15"	"ENSMUSG00000109129"	""	""
"16"	"ENSMUSG00000109156"	""	""
"17"	"ENSMUSG00000109166"	""	""
"18"	"ENSMUSG00000109179"	""	""
"19"	"ENSMUSG00000109344"	""	""
"20"	"ENSMUSG00000109368"	""	""
"21"	"ENSMUSG00000109372"	""	""
"22"	"ENSMUSG00000109392"	""	""
"23"	"ENSMUSG00000109446"	""	""
"24"	"ENSMUSG00000109482"	""	""
"25"	"ENSMUSG00000109493"	""	""
"26"	"ENSMUSG00000110439"	""	""
"27"	"ENSMUSG00000111448"	""	""
"28"	"ENSMUSG00000111709"	""	""
"29"	"GCAB_MOUSE"	""	""
"30"	"HA1Z_MOUSE"	""	""
"31"	"HA22_MOUSE"	""	""
"32"	"HB22_MOUSE"	""	""
"33"	"HB24_MOUSE"	""	""
"34"	"HB2U_MOUSE"	""	""
"35"	"HVM00_MOUSE"	""	""
"36"	"HVM01_MOUSE"	""	""
"37"	"HVM02_MOUSE"	""	""
"38"	"HVM03_MOUSE"	""	""
"39"	"HVM04_MOUSE"	""	""
"40"	"HVM06_MOUSE"	""	""
"41"	"HVM09_MOUSE"	""	""
"42"	"HVM11_MOUSE"	""	""
"43"	"HVM12_MOUSE"	""	""
"44"	"HVM13_MOUSE"	""	""
"45"	"HVM15_MOUSE"	""	""
"46"	"HVM16_MOUSE"	""	""
"47"	"HVM17_MOUSE"	""	""
"48"	"HVM18_MOUSE"	""	""
"49"	"HVM19_MOUSE"	""	""
"50"	"HVM20_MOUSE"	""	""
"51"	"HVM21_MOUSE"	""	""
"52"	"HVM22_MOUSE"	""	""
"53"	"HVM23_MOUSE"	""	""
"54"	"HVM24_MOUSE"	""	""
"55"	"HVM25_MOUSE"	""	""
"56"	"HVM26_MOUSE"	""	""
"57"	"HVM27_MOUSE"	""	""
"58"	"HVM28_MOUSE"	""	""
"59"	"HVM29_MOUSE"	""	""
"60"	"HVM30_MOUSE"	""	""
"61"	"HVM31_MOUSE"	""	""
"62"	"HVM32_MOUSE"	""	""
"63"	"HVM33_MOUSE"	""	""
"64"	"HVM34_MOUSE"	""	""
"65"	"HVM35_MOUSE"	""	""
"66"	"HVM37_MOUSE"	""	""
"67"	"HVM39_MOUSE"	""	""
"68"	"HVM40_MOUSE"	""	""
"69"	"HVM41_MOUSE"	""	""
"70"	"HVM42_MOUSE"	""	""
"71"	"HVM43_MOUSE"	""	""
"72"	"HVM44_MOUSE"	""	""
"73"	"HVM46_MOUSE"	""	""
"74"	"HVM47_MOUSE"	""	""
"75"	"HVM48_MOUSE"	""	""
"76"	"HVM49_MOUSE"	""	""
"77"	"HVM50_MOUSE"	""	""
"78"	"HVM51_MOUSE"	""	""
"79"	"HVM53_MOUSE"	""	""
"80"	"HVM54_MOUSE"	""	""
"81"	"HVM55_MOUSE"	""	""
"82"	"HVM56_MOUSE"	""	""
"83"	"HVM57_MOUSE"	""	""
"84"	"HVM58_MOUSE"	""	""
"85"	"HVM59_MOUSE"	""	""
"86"	"HVM61_MOUSE"	""	""
"87"	"IGHA_MOUSE"	""	""
"88"	"IGHDM_MOUSE"	""	""
"89"	"IGHD_MOUSE"	""	""
"90"	"IGHG3_MOUSE"	""	""
"91"	"KV2A4_MOUSE"	""	""
"92"	"KV2A5_MOUSE"	""	""
"93"	"KV2A6_MOUSE"	""	""
"94"	"KV2A7_MOUSE"	""	""
"95"	"KV3A1_MOUSE"	""	""
"96"	"KV3A2_MOUSE"	""	""
"97"	"KV3A3_MOUSE"	""	""
"98"	"KV3A4_MOUSE"	""	""
"99"	"KV3A5_MOUSE"	""	""
"100"	"KV3A6_MOUSE"	""	""
"101"	"KV3A7_MOUSE"	""	""
"102"	"KV3A8_MOUSE"	""	""
"103"	"KV3A9_MOUSE"	""	""
"104"	"KV3AA_MOUSE"	""	""
"105"	"KV3AB_MOUSE"	""	""
"106"	"KV3AC_MOUSE"	""	""
"107"	"KV3AD_MOUSE"	""	""
"108"	"KV3AE_MOUSE"	""	""
"109"	"KV3AF_MOUSE"	""	""
"110"	"KV3AG_MOUSE"	""	""
"111"	"KV3AH_MOUSE"	""	""
"112"	"KV3AI_MOUSE"	""	""
"113"	"KV3AJ_MOUSE"	""	""
"114"	"KV3AK_MOUSE"	""	""
"115"	"KV3AL_MOUSE"	""	""
"116"	"KV3AM_MOUSE"	""	""
