"primary"	"secondary"	"symbol"
"1"	"CHEBI:29173"	""	""
"2"	"CHEBI:29175"	""	""
"3"	"L000003336"	"YCLX01W"	""
"4"	"S000000001"	"YAL001C"	"TFC3"
"5"	"S000000002"	"YAL002W"	"VPS8"
"6"	"S000000003"	"YAL003W"	"EFB1"
"7"	"S000000004"	"YAL005C"	"SSA1"
"8"	"S000000005"	"YAL007C"	"ERP2"
"9"	"S000000006"	"YAL008W"	"FUN14"
"10"	"S000000007"	"YAL009W"	"SPO7"
"11"	"S000000008"	"YAL010C"	"MDM10"
"12"	"S000000009"	"YAL011W"	"SWC3"
"13"	"S000000010"	"YAL012W"	"CYS3"
"14"	"S000000011"	"YAL013W"	"DEP1"
"15"	"S000000012"	"YAL014C"	"SYN8"
"16"	"S000000013"	"YAL015C"	"NTG1"
"17"	"S000000014"	"YAL016W"	"TPD3"
"18"	"S000000015"	"YAL017W"	"PSK1"
"19"	"S000000016"	"YAL018C"	"LDS1"
"20"	"S000000017"	"YAL019W"	"FUN30"
"21"	"S000000018"	"YAL020C"	"ATS1"
"22"	"S000000019"	"YAL021C"	"CCR4"
"23"	"S000000020"	"YAL022C"	"FUN26"
"24"	"S000000021"	"YAL023C"	"PMT2"
"25"	"S000000022"	"YAL024C"	"LTE1"
"26"	"S000000023"	"YAL025C"	"MAK16"
"27"	"S000000024"	"YAL026C"	"DRS2"
"28"	"S000000025"	"YAL027W"	"SAW1"
"29"	"S000000026"	"YAL028W"	"FRT2"
"30"	"S000000027"	"YAL029C"	"MYO4"
"31"	"S000000028"	"YAL030W"	"SNC1"
"32"	"S000000029"	"YAL031C"	"GIP4"
"33"	"S000000030"	"YAL032C"	"PRP45"
"34"	"S000000031"	"YAL033W"	"POP5"
"35"	"S000000032"	"YAL034W-A"	"MTW1"
"36"	"S000000033"	"YAL035W"	"FUN12"
"37"	"S000000034"	"YAL036C"	"RBG1"
"38"	"S000000035"	"YAL037W"	""
"39"	"S000000036"	"YAL038W"	"CDC19"
"40"	"S000000037"	"YAL039C"	"CYC3"
"41"	"S000000038"	"YAL040C"	"CLN3"
"42"	"S000000039"	"YAL041W"	"CDC24"
"43"	"S000000040"	"YAL042W"	"ERV46"
"44"	"S000000041"	"YAL043C"	"PTA1"
"45"	"S000000042"	"YAL044C"	"GCV3"
"46"	"S000000043"	"YAL045C"	""
"47"	"S000000044"	"YAL046C"	"BOL3"
"48"	"S000000045"	"YAL047C"	"SPC72"
"49"	"S000000046"	"YAL048C"	"GEM1"
