"gene_id"	"brief.description"
"1"	"CG10407"	""
"2"	"CG11857"	""
"3"	"CG12402"	""
"4"	"CG46284"	""
"5"	"CG6972"	""
"6"	"Dmel_CG43323"	""
"7"	"Dmel_CG45783"	""
"8"	"Dmel_CG45784"	""
"9"	"FBgn0000003"	""
"10"	"FBgn0000008"	""
"11"	"FBgn0000014"	""
"12"	"FBgn0000015"	""
"13"	"FBgn0000017"	""
"14"	"FBgn0000018"	""
"15"	"FBgn0000022"	""
"16"	"FBgn0000024"	""
"17"	"FBgn0000028"	""
"18"	"FBgn0000032"	""
"19"	"FBgn0000036"	""
"20"	"FBgn0000037"	""
"21"	"FBgn0000038"	""
"22"	"FBgn0000039"	""
"23"	"FBgn0000042"	""
"24"	"FBgn0000043"	""
"25"	"FBgn0000044"	""
"26"	"FBgn0000045"	""
"27"	"FBgn0000046"	""
"28"	"FBgn0000047"	""
"29"	"FBgn0000052"	""
"30"	"FBgn0000053"	""
"31"	"FBgn0000055"	""
"32"	"FBgn0000056"	""
"33"	"FBgn0000057"	""
"34"	"FBgn0000061"	""
"35"	"FBgn0000063"	""
"36"	"FBgn0000064"	""
"37"	"FBgn0000071"	""
"38"	"FBgn0000075"	""
"39"	"FBgn0000077"	""
"40"	"FBgn0000078"	""
"41"	"FBgn0000079"	""
"42"	"FBgn0000083"	""
"43"	"FBgn0000084"	""
"44"	"FBgn0000092"	""
"45"	"FBgn0000094"	""
"46"	"FBgn0000097"	""
"47"	"FBgn0000100"	""
"48"	"FBgn0000108"	""
"49"	"FBgn0000109"	""
"50"	"FBgn0000114"	""
"51"	"FBgn0000115"	""
"52"	"FBgn0000116"	""
"53"	"FBgn0000117"	""
"54"	"FBgn0000119"	""
"55"	"FBgn0000120"	""
"56"	"FBgn0000121"	""
"57"	"FBgn0000137"	""
"58"	"FBgn0000139"	""
"59"	"FBgn0000140"	""
"60"	"FBgn0000146"	""
"61"	"FBgn0000147"	""
"62"	"FBgn0000150"	""
"63"	"FBgn0000152"	""
"64"	"FBgn0000153"	""
"65"	"FBgn0000157"	""
"66"	"FBgn0000158"	""
"67"	"FBgn0000163"	""
"68"	"FBgn0000166"	""
"69"	"FBgn0000173"	""
"70"	"FBgn0000179"	""
"71"	"FBgn0000180"	""
"72"	"FBgn0000181"	""
"73"	"FBgn0000182"	""
"74"	"FBgn0000183"	""
"75"	"FBgn0000206"	""
"76"	"FBgn0000212"	""
"77"	"FBgn0000216"	""
"78"	"FBgn0000221"	""
"79"	"FBgn0000227"	""
"80"	"FBgn0000228"	""
"81"	"FBgn0000229"	""
"82"	"FBgn0000233"	""
"83"	"FBgn0000239"	""
"84"	"FBgn0000241"	""
"85"	"FBgn0000244"	""
"86"	"FBgn0000246"	""
"87"	"FBgn0000247"	""
"88"	"FBgn0000250"	""
"89"	"FBgn0000251"	""
"90"	"FBgn0000253"	""
"91"	"FBgn0000256"	""
"92"	"FBgn0000257"	""
"93"	"FBgn0000259"	""
"94"	"FBgn0000261"	""
"95"	"FBgn0000273"	""
"96"	"FBgn0000274"	""
"97"	"FBgn0000276"	""
"98"	"FBgn0000277"	""
"99"	"FBgn0000278"	""
"100"	"FBgn0000279"	""
"101"	"FBgn0000280"	""
"102"	"FBgn0000281"	""
"103"	"FBgn0000283"	""
"104"	"FBgn0000286"	""
"105"	"FBgn0000287"	""
"106"	"FBgn0000289"	""
"107"	"FBgn0000299"	""
"108"	"FBgn0000303"	""
"109"	"FBgn0000307"	""
"110"	"FBgn0000308"	""
"111"	"FBgn0000316"	""
"112"	"FBgn0000317"	""
"113"	"FBgn0000318"	""
"114"	"FBgn0000319"	""
"115"	"FBgn0000320"	""
"116"	"FBgn0000326"	""
"117"	"FBgn0000330"	""
"118"	"FBgn0000337"	""
"119"	"FBgn0000339"	""
"120"	"FBgn0000346"	""
"121"	"FBgn0000351"	""
"122"	"FBgn0000352"	""
"123"	"FBgn0000355"	""
"124"	"FBgn0000356"	""
"125"	"FBgn0000357"	""
"126"	"FBgn0000358"	""
"127"	"FBgn0000359"	""
"128"	"FBgn0000360"	""
"129"	"FBgn0000370"	""
"130"	"FBgn0000376"	""
"131"	"FBgn0000377"	""
"132"	"FBgn0000382"	""
"133"	"FBgn0000384"	""
"134"	"FBgn0000392"	""
"135"	"FBgn0000394"	""
"136"	"FBgn0000395"	""
"137"	"FBgn0000404"	""
"138"	"FBgn0000405"	""
"139"	"FBgn0000406"	""
"140"	"FBgn0000411"	""
"141"	"FBgn0000412"	""
"142"	"FBgn0000414"	""
"143"	"FBgn0000416"	""
"144"	"FBgn0000422"	""
"145"	"FBgn0000426"	""
"146"	"FBgn0000427"	""
"147"	"FBgn0000439"	""
"148"	"FBgn0000442"	""
"149"	"FBgn0000447"	""
"150"	"FBgn0000448"	""
"151"	"FBgn0000449"	""
"152"	"FBgn0000451"	""
"153"	"FBgn0000454"	""
"154"	"FBgn0000455"	""
"155"	"FBgn0000459"	""
"156"	"FBgn0000463"	""
"157"	"FBgn0000464"	""
"158"	"FBgn0000473"	""
"159"	"FBgn0000477"	""
"160"	"FBgn0000479"	""
"161"	"FBgn0000482"	""
"162"	"FBgn0000489"	""
"163"	"FBgn0000490"	""
"164"	"FBgn0000492"	""
"165"	"FBgn0000499"	""
"166"	"FBgn0000500"	""
"167"	"FBgn0000504"	""
"168"	"FBgn0000520"	""
"169"	"FBgn0000524"	""
"170"	"FBgn0000527"	""
"171"	"FBgn0000529"	""
"172"	"FBgn0000533"	""
"173"	"FBgn0000535"	""
"174"	"FBgn0000536"	""
"175"	"FBgn0000541"	""
"176"	"FBgn0000542"	""
"177"	"FBgn0000543"	""
"178"	"FBgn0000546"	""
"179"	"FBgn0000547"	""
"180"	"FBgn0000551"	""
"181"	"FBgn0000552"	""
"182"	"FBgn0000556"	""
"183"	"FBgn0000557"	""
"184"	"FBgn0000559"	""
"185"	"FBgn0000560"	""
"186"	"FBgn0000562"	""
"187"	"FBgn0000564"	""
"188"	"FBgn0000565"	""
"189"	"FBgn0000566"	""
"190"	"FBgn0000567"	""
"191"	"FBgn0000568"	""
"192"	"FBgn0000575"	""
"193"	"FBgn0000576"	""
"194"	"FBgn0000577"	""
"195"	"FBgn0000578"	""
"196"	"FBgn0000579"	""
"197"	"FBgn0000581"	""
"198"	"FBgn0000588"	""
"199"	"FBgn0000591"	""
"200"	"FBgn0000592"	""
"201"	"FBgn0000594"	""
"202"	"FBgn0000606"	""
"203"	"FBgn0000611"	""
"204"	"FBgn0000615"	""
"205"	"FBgn0000617"	""
"206"	"FBgn0000618"	""
"207"	"FBgn0000625"	""
"208"	"FBgn0000629"	""
"209"	"FBgn0000633"	""
"210"	"FBgn0000635"	""
"211"	"FBgn0000636"	""
"212"	"FBgn0000639"	""
"213"	"FBgn0000640"	""
"214"	"FBgn0000644"	""
"215"	"FBgn0000658"	""
"216"	"FBgn0000659"	""
"217"	"FBgn0000662"	""
"218"	"FBgn0000667"	""
"219"	"FBgn0000709"	""
"220"	"FBgn0000711"	""
"221"	"FBgn0000715"	""
"222"	"FBgn0000719"	""
"223"	"FBgn0000721"	""
"224"	"FBgn0000723"	""
"225"	"FBgn0000808"	""
"226"	"FBgn0000810"	""
"227"	"FBgn0000826"	""
"228"	"FBgn0000927"	""
"229"	"FBgn0000928"	""
"230"	"FBgn0000964"	""
"231"	"FBgn0000996"	""
"232"	"FBgn0001075"	""
"233"	"FBgn0001077"	""
"234"	"FBgn0001078"	""
"235"	"FBgn0001079"	""
"236"	"FBgn0001083"	""
"237"	"FBgn0001084"	""
"238"	"FBgn0001085"	""
"239"	"FBgn0001086"	""
"240"	"FBgn0001087"	""
"241"	"FBgn0001089"	""
"242"	"FBgn0001090"	""
"243"	"FBgn0001091"	""
"244"	"FBgn0001092"	""
"245"	"FBgn0001098"	""
"246"	"FBgn0001099"	""
"247"	"FBgn0001104"	""
"248"	"FBgn0001105"	""
"249"	"FBgn0001108"	""
"250"	"FBgn0001112"	""
"251"	"FBgn0001114"	""
"252"	"FBgn0001120"	""
"253"	"FBgn0001122"	""
"254"	"FBgn0001123"	""
"255"	"FBgn0001124"	""
"256"	"FBgn0001125"	""
"257"	"FBgn0001128"	""
"258"	"FBgn0001133"	""
"259"	"FBgn0001134"	""
"260"	"FBgn0001137"	""
"261"	"FBgn0001138"	""
"262"	"FBgn0001139"	""
"263"	"FBgn0001142"	""
"264"	"FBgn0001145"	""
"265"	"FBgn0001147"	""
"266"	"FBgn0001148"	""
"267"	"FBgn0001149"	""
"268"	"FBgn0001150"	""
"269"	"FBgn0001168"	""
"270"	"FBgn0001169"	""
"271"	"FBgn0001170"	""
"272"	"FBgn0001174"	""
"273"	"FBgn0001179"	""
"274"	"FBgn0001180"	""
"275"	"FBgn0001185"	""
"276"	"FBgn0001186"	""
"277"	"FBgn0001187"	""
