"primary"	"secondary"	"symbol"
"1"	"6273"	"ENSG00000196754"	"S100A2"
"2"	"3635"	"ENSG00000168918"	"INPP5D"
"3"	"2012"	"ENSG00000134531"	"EMP1"
"4"	"131566"	"ENSG00000057019"	"DCBLD2"
"5"	"1308"	"ENSG00000065618"	"COL17A1"
"6"	"151473"	"ENSG00000163053"	"SLC16A14"
"7"	"4233"	"ENSG00000105976"	"MET"
"8"	"3852"	"ENSG00000186081"	"KRT5"
"9"	"3945"	"ENSG00000111716"	"LDHB"
"10"	"4323"	"ENSG00000157227"	"MMP14"
"11"	"29117"	"ENSG00000166164"	"BRD7"
"12"	"81831"	"ENSG00000171208"	"NETO2"
"13"	"79966"	"ENSG00000145284"	"SCD5"
"14"	"92737"	"ENSG00000187957"	"DNER"
"15"	"654433"	"ENSG00000189223"	"PAX8-AS1"
"16"	"55701"	"ENSG00000165801"	"ARHGEF40"
"17"	"3880"	"ENSG00000171345"	"KRT19"
"18"	"4128"	"ENSG00000189221"	"MAOA"
"19"	"9644"	"ENSG00000107957"	"SH3PXD2A"
"20"	"54836"	"ENSG00000119411"	"BSPRY"
"21"	"1687"	"ENSG00000105928"	"GSDME"
"22"	"4137"	"ENSG00000186868"	"MAPT"
"23"	"55349"	"ENSG00000016391"	"CHDH"
"24"	"133308"	"ENSG00000164038"	"SLC9B2"
"25"	"7045"	"ENSG00000120708"	"TGFBI"
"26"	"54847"	"ENSG00000072858"	"SIDT1"
"27"	"57636"	"ENSG00000275832"	"ARHGAP23"
"28"	"2564"	"ENSG00000102287"	"GABRE"
"29"	"4685"	"ENSG00000154654"	"NCAM2"
"30"	"7351"	"ENSG00000175567"	"UCP2"
"31"	"1956"	"ENSG00000146648"	"EGFR"
"32"	"5791"	"ENSG00000132334"	"PTPRE"
"33"	"135228"	"ENSG00000156535"	"CD109"
"34"	"22873"	"ENSG00000134874"	"DZIP1"
"35"	"3853"	"ENSG00000205420"	"KRT6A"
"36"	"10052"	"ENSG00000182963"	"GJC1"
"37"	"83742"	"ENSG00000155254"	"MARVELD1"
"38"	"8991"	"ENSG00000143416"	"SELENBP1"
"39"	"5362"	"ENSG00000076356"	"PLXNA2"
"40"	"5654"	"ENSG00000166033"	"HTRA1"
"41"	"5236"	"ENSG00000079739"	"PGM1"
"42"	"84985"	"ENSG00000147689"	"FAM83A"
"43"	"6591"	"ENSG00000019549"	"SNAI2"
"44"	"7026"	"ENSG00000185551"	"NR2F2"
"45"	"7078"	"ENSG00000100234"	"TIMP3"
"46"	"83871"	"ENSG00000109113"	"RAB34"
"47"	"2950"	"ENSG00000084207"	"GSTP1"
"48"	"133418"	"ENSG00000170571"	"EMB"
"49"	"114818"	"ENSG00000119771"	"KLHL29"
"50"	"3625"	"ENSG00000163083"	"INHBB"
"51"	"90161"	"ENSG00000171004"	"HS6ST2"
"52"	"22996"	"ENSG00000085831"	"TTC39A"
"53"	"64131"	"ENSG00000103489"	"XYLT1"
"54"	"124872"	"ENSG00000167080"	"B4GALNT2"
"55"	"64282"	"ENSG00000121274"	"TENT4B"
"56"	"26996"	"ENSG00000173890"	"GPR160"
"57"	"84336"	"ENSG00000091947"	"TMEM101"
"58"	"5054"	"ENSG00000106366"	"SERPINE1"
"59"	"25803"	"ENSG00000124664"	"SPDEF"
"60"	"200879"	"ENSG00000163898"	"LIPH"
"61"	"182"	"ENSG00000101384"	"JAG1"
"62"	"64129"	"ENSG00000142910"	"TINAGL1"
"63"	"53827"	"ENSG00000089327"	"FXYD5"
"64"	"5618"	"ENSG00000113494"	"PRLR"
"65"	"57535"	"ENSG00000116299"	"KIAA1324"
"66"	"163589"	"ENSG00000162782"	"TDRD5"
"67"	"408"	"ENSG00000137486"	"ARRB1"
"68"	"120224"	"ENSG00000151715"	"TMEM45B"
"69"	"55243"	"ENSG00000183853"	"KIRREL1"
"70"	"91975"	"ENSG00000145908"	"ZNF300"
"71"	"56606"	"ENSG00000109667"	"SLC2A9"
"72"	"23263"	"ENSG00000126217"	"MCF2L"
"73"	"1294"	"ENSG00000114270"	"COL7A1"
"74"	"4919"	"ENSG00000185483"	"ROR1"
"75"	"255324"	"ENSG00000182585"	"EPGN"
"76"	"79827"	"ENSG00000166250"	"CLMP"
"77"	"7849"	"ENSG00000125618"	"PAX8"
"78"	"309"	"ENSG00000197043"	"ANXA6"
"79"	"3918"	"ENSG00000058085"	"LAMC2"
"80"	"23225"	"ENSG00000132182"	"NUP210"
"81"	"367"	"ENSG00000169083"	"AR"
"82"	"2048"	"ENSG00000133216"	"EPHB2"
"83"	"2121"	"ENSG00000072840"	"EVC"
"84"	"1288"	"ENSG00000197565"	"COL4A6"
"85"	"57221"	"ENSG00000112379"	"ARFGEF3"
"86"	"80303"	"ENSG00000115468"	"EFHD1"
"87"	"27132"	"ENSG00000178773"	"CPNE7"
"88"	"11275"	"ENSG00000109466"	"KLHL2"
"89"	"53836"	"ENSG00000138271"	"GPR87"
"90"	"116154"	"ENSG00000087495"	"PHACTR3"
"91"	"55323"	"ENSG00000166173"	"LARP6"
"92"	"84441"	"ENSG00000184384"	"MAML2"
"93"	"23682"	"ENSG00000123892"	"RAB38"
"94"	"5621"	"ENSG00000171867"	"PRNP"
"95"	"60526"	"ENSG00000118961"	"LDAH"
"96"	"84302"	"ENSG00000165152"	"PGAP4"
"97"	"134265"	"ENSG00000157510"	"AFAP1L1"
"98"	"2944"	"ENSG00000134184"	"GSTM1"
"99"	"8406"	"ENSG00000101955"	"SRPX"
"100"	"388559"	"ENSG00000213793"	"ZNF888"
"101"	"56938"	"ENSG00000029153"	"ARNTL2"
"102"	"5125"	"ENSG00000099139"	"PCSK5"
"103"	"23612"	"ENSG00000174307"	"PHLDA3"
"104"	"147372"	"ENSG00000183287"	"CCBE1"
"105"	"7076"	"ENSG00000102265"	"TIMP1"
"106"	"2043"	"ENSG00000116106"	"EPHA4"
"107"	"27289"	"ENSG00000172602"	"RND1"
"108"	"375484"	"ENSG00000170085"	"SIMC1"
"109"	"2200"	"ENSG00000166147"	"FBN1"
"110"	"1152"	"ENSG00000166165"	"CKB"
"111"	"5317"	"ENSG00000081277"	"PKP1"
"112"	"50515"	"ENSG00000171310"	"CHST11"
"113"	"7048"	"ENSG00000163513"	"TGFBR2"
"114"	"1643"	"ENSG00000134574"	"DDB2"
"115"	"23650"	"ENSG00000137699"	"TRIM29"
"116"	"55422"	"ENSG00000130844"	"ZNF331"
"117"	"6752"	"ENSG00000180616"	"SSTR2"
"118"	NA	"ENSG00000124224"	NA
"119"	"26011"	"ENSG00000149256"	"TENM4"
"120"	"646"	"ENSG00000169594"	"BNC1"
"121"	"1381"	"ENSG00000166426"	"CRABP1"
"122"	"64115"	"ENSG00000107738"	"VSIR"
"123"	"10205"	"ENSG00000149573"	"MPZL2"
"124"	"4920"	"ENSG00000169071"	"ROR2"
"125"	"11245"	"ENSG00000166073"	"GPR176"
"126"	"9507"	"ENSG00000158859"	"ADAMTS4"
"127"	"4151"	"ENSG00000198125"	"MB"
"128"	"9469"	"ENSG00000122863"	"CHST3"
"129"	"79746"	"ENSG00000134463"	"ECHDC3"
"130"	"728927"	"ENSG00000234444"	"ZNF736"
"131"	"3872"	"ENSG00000128422"	"KRT17"
"132"	"79148"	"ENSG00000271447"	"MMP28"
"133"	"729993"	"ENSG00000237515"	"SHISA9"
"134"	"9610"	"ENSG00000174791"	"RIN1"
"135"	"9982"	"ENSG00000137440"	"FGFBP1"
"136"	"284391"	"ENSG00000223547"	"ZNF844"
"137"	"135932"	"ENSG00000178826"	"TMEM139"
"138"	"152485"	"ENSG00000151612"	"ZNF827"
"139"	"1012"	"ENSG00000140945"	"CDH13"
"140"	"80129"	"ENSG00000120262"	"CCDC170"
"141"	"6098"	"ENSG00000047936"	"ROS1"
"142"	"2196"	"ENSG00000086570"	"FAT2"
"143"	"58499"	"ENSG00000148143"	"ZNF462"
"144"	NA	"ENSG00000214189"	NA
"145"	"130589"	"ENSG00000143891"	"GALM"
"146"	"113220"	"ENSG00000136883"	"KIF12"
"147"	"27122"	"ENSG00000050165"	"DKK3"
"148"	NA	"ENSG00000275216"	NA
"149"	"6542"	"ENSG00000003989"	"SLC7A2"
"150"	"80319"	"ENSG00000168772"	"CXXC4"
"151"	"23683"	"ENSG00000115825"	"PRKD3"
"152"	"10643"	"ENSG00000136231"	"IGF2BP3"
"153"	"27202"	"ENSG00000134830"	"C5AR2"
"154"	"91074"	"ENSG00000148513"	"ANKRD30A"
"155"	"10439"	"ENSG00000130558"	"OLFM1"
"156"	"93664"	"ENSG00000081803"	"CADPS2"
"157"	"5328"	"ENSG00000122861"	"PLAU"
"158"	"1602"	"ENSG00000276644"	"DACH1"
"159"	"858"	"ENSG00000105971"	"CAV2"
"160"	"23475"	"ENSG00000103485"	"QPRT"
"161"	"2533"	"ENSG00000082074"	"FYB1"
"162"	"2709"	"ENSG00000189280"	"GJB5"
"163"	"27134"	"ENSG00000105289"	"TJP3"
"164"	"60401"	"ENSG00000131080"	"EDA2R"
"165"	"203328"	"ENSG00000157303"	"SUSD3"
"166"	"55466"	"ENSG00000140403"	"DNAJA4"
"167"	"6422"	"ENSG00000104332"	"SFRP1"
"168"	"9124"	"ENSG00000107438"	"PDLIM1"
"169"	"29940"	"ENSG00000111817"	"DSE"
"170"	"10630"	"ENSG00000162493"	"PDPN"
"171"	"3786"	"ENSG00000184156"	"KCNQ3"
"172"	"9651"	"ENSG00000149527"	"PLCH2"
"173"	"3490"	"ENSG00000163453"	"IGFBP7"
"174"	"57158"	"ENSG00000149596"	"JPH2"
"175"	"55612"	"ENSG00000101311"	"FERMT1"
"176"	"1366"	"ENSG00000181885"	"CLDN7"
"177"	"4199"	"ENSG00000065833"	"ME1"
"178"	"90843"	"ENSG00000180964"	"TCEAL8"
"179"	"8537"	"ENSG00000064787"	"BCAS1"
"180"	"84775"	"ENSG00000198182"	"ZNF607"
"181"	NA	"ENSG00000254682"	NA
"182"	"863"	"ENSG00000129993"	"CBFA2T3"
"183"	"26507"	"ENSG00000119946"	"CNNM1"
"184"	"79633"	"ENSG00000196159"	"FAT4"
"185"	"4493"	"ENSG00000169715"	"MT1E"
