"primary"	"secondary"	"symbol"
"1"	"1"	"ENSG00000121410"	"A1BG"
"2"	"10"	"ENSG00000156006"	"NAT2"
"3"	"100"	"ENSG00000196839"	"ADA"
"4"	"1000"	"ENSG00000170558"	"CDH2"
"5"	"10000"	"ENSG00000117020"	"AKT3"
"6"	"100008586"	"ENSG00000236362"	"GAGE12F"
"7"	"100008587"	"ENSG00000274917"	"RNA5-8SN5"
"8"	"100008588"	""	"RNA18SN5"
"9"	"100008589"	""	"RNA28SN5"
"10"	"100009601"	""	"TRY-GTA7-1"
"11"	"100009602"	""	"TRY-GTA5-4"
"12"	"100009603"	""	"TRA-AGC11-1"
"13"	"100009604"	""	"TRA-AGC8-1"
"14"	"100009605"	""	"TRF-GAA2-1"
"15"	"100009606"	""	"TRF-GAA1-4"
"16"	"100009607"	""	"TRH-GTG1-6"
"17"	"100009613"	"ENSG00000254417"	"LINC02584"
"18"	"100009667"	"ENSG00000236375"	"POU5F1P5"
"19"	"100009668"	"ENSG00000242551"	"POU5F1P6"
"20"	"100009669"	"ENSG00000248365"	"POU5F1P7"
"21"	"100009671"	""	"IRX4P1"
"22"	"100009676"	"ENSG00000256628"	"ZBTB11-AS1"
"23"	"10001"	"ENSG00000133997"	"MED6"
"24"	"10002"	"ENSG00000278570"	"NR2E3"
"25"	"10003"	"ENSG00000077616"	"NAALAD2"
"26"	"100033391"	""	"VN2R2P"
"27"	"100033392"	"ENSG00000234680"	"VN2R3P"
"28"	"100033395"	""	"VN2R6P"
"29"	"100033396"	""	"VN2R7P"
"30"	"100033398"	"ENSG00000226348"	"VN2R10P"
"31"	"100033399"	""	"VN2R11P"
"32"	"100033400"	""	"VN2R12P"
"33"	"100033401"	""	"VN2R13P"
"34"	"100033402"	""	"VN2R14P"
"35"	"100033403"	""	"VN2R15P"
"36"	"100033404"	""	"VN2R16P"
"37"	"100033406"	""	"VN2R18P"
"38"	"100033407"	"ENSG00000235974"	"VN2R19P"
"39"	"100033408"	""	"VN2R20P"
"40"	"100033409"	"ENSG00000234644"	"OTX2P1"
"41"	"100033411"	"ENSG00000282757"	"DUXB"
"42"	"100033413"	"ENSG00000207063"	"SNORD116-1"
