"gene_id"	"GO.ID"	"GO.names"
"S000000001"	"S000000001"	"GO:0000127, GO:0001002, GO:0001003, GO:0003677, GO:0005634, GO:0005739, GO:0006383, GO:0006384, GO:0008301, GO:0042791, GO:0071168"	"transcription factor TFIIIC complex, RNA polymerase III type 1 promoter sequence-specific DNA binding, RNA polymerase III type 2 promoter sequence-specific DNA binding, DNA binding, nucleus, mitochondrion, transcription by RNA polymerase III, transcription initiation from RNA polymerase III promoter, DNA binding, bending, 5S class rRNA transcription by RNA polymerase III, protein localization to chromatin"
"S000000002"	"S000000002"	"GO:0005770, GO:0005794, GO:0005795, GO:0006623, GO:0006886, GO:0015031, GO:0016020, GO:0016192, GO:0017137, GO:0030897, GO:0032511, GO:0033263, GO:0034058, GO:0043495, GO:0046872, GO:0051020"	"late endosome, Golgi apparatus, Golgi stack, protein targeting to vacuole, intracellular protein transport, protein transport, membrane, vesicle-mediated transport, Rab GTPase binding, HOPS complex, late endosome to vacuole transport via multivesicular body sorting pathway, CORVET complex, endosomal vesicle fusion, protein-membrane adaptor activity, metal ion binding, GTPase binding"
"S000000003"	"S000000003"	"GO:0003746, GO:0005085, GO:0005829, GO:0005853, GO:0006412, GO:0006414, GO:0006449, GO:0032232, GO:1990145"	"translation elongation factor activity, guanyl-nucleotide exchange factor activity, cytosol, eukaryotic translation elongation factor 1 complex, translation, translational elongation, regulation of translational termination, negative regulation of actin filament bundle assembly, maintenance of translational fidelity"
"S000000004"	"S000000004"	"GO:0000049, GO:0000166, GO:0000209, GO:0000329, GO:0002181, GO:0005524, GO:0005576, GO:0005618, GO:0005634, GO:0005737, GO:0005829, GO:0005844, GO:0005886, GO:0006457, GO:0006606, GO:0006616, GO:0006626, GO:0006986, GO:0009277, GO:0016192, GO:0016887, GO:0031072, GO:0034620, GO:0035617, GO:0042026, GO:0043161, GO:0044183, GO:0051082, GO:0051085, GO:0051787, GO:0071470, GO:0072318, GO:0072671, GO:0090344"	"tRNA binding, nucleotide binding, protein polyubiquitination, fungal-type vacuole membrane, cytoplasmic translation, ATP binding, extracellular region, cell wall, nucleus, cytoplasm, cytosol, polysome, plasma membrane, protein folding, protein import into nucleus, SRP-dependent cotranslational protein targeting to membrane, translocation, protein targeting to mitochondrion, response to unfolded protein, fungal-type cell wall, vesicle-mediated transport, ATPase activity, heat shock protein binding, cellular response to unfolded protein, stress granule disassembly, protein refolding, proteasome-mediated ubiquitin-dependent protein catabolic process, protein folding chaperone, unfolded protein binding, chaperone cofactor-dependent protein refolding, misfolded protein binding, cellular response to osmotic stress, clathrin coat disassembly, mitochondria-associated ubiquitin-dependent protein catabolic process, negative regulation of cell aging"
"S000000005"	"S000000005"	"GO:0003674, GO:0005783, GO:0005789, GO:0005793, GO:0005794, GO:0006621, GO:0006886, GO:0006888, GO:0007030, GO:0015031, GO:0016020, GO:0016021, GO:0016192, GO:0030134"	"molecular_function, endoplasmic reticulum, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment, Golgi apparatus, protein retention in ER lumen, intracellular protein transport, endoplasmic reticulum to Golgi vesicle-mediated transport, Golgi organization, protein transport, membrane, integral component of membrane, vesicle-mediated transport, COPII-coated ER to Golgi transport vesicle"
"S000000006"	"S000000006"	"GO:0000422, GO:0003674, GO:0005739, GO:0005741, GO:0007005, GO:0016020, GO:0016021, GO:0031307, GO:0055091"	"autophagy of mitochondrion, molecular_function, mitochondrion, mitochondrial outer membrane, mitochondrion organization, membrane, integral component of membrane, integral component of mitochondrial outer membrane, phospholipid homeostasis"
"S000000007"	"S000000007"	"GO:0004721, GO:0005634, GO:0005783, GO:0005789, GO:0006470, GO:0006629, GO:0006998, GO:0016020, GO:0016021, GO:0019888, GO:0030435, GO:0031965, GO:0043666, GO:0061709, GO:0071071, GO:0071072, GO:0071595, GO:1903740"	"phosphoprotein phosphatase activity, nucleus, endoplasmic reticulum, endoplasmic reticulum membrane, protein dephosphorylation, lipid metabolic process, nuclear envelope organization, membrane, integral component of membrane, protein phosphatase regulator activity, sporulation resulting in formation of a cellular spore, nuclear membrane, regulation of phosphoprotein phosphatase activity, reticulophagy, regulation of phospholipid biosynthetic process, negative regulation of phospholipid biosynthetic process, Nem1-Spo7 phosphatase complex, positive regulation of phosphatidate phosphatase activity"
"S000000008"	"S000000008"	"GO:0000002, GO:0001401, GO:0003674, GO:0005739, GO:0005741, GO:0007005, GO:0015914, GO:0016020, GO:0016021, GO:0031307, GO:0032865, GO:0045040, GO:0051654, GO:0070096, GO:1990456"	"mitochondrial genome maintenance, SAM complex, molecular_function, mitochondrion, mitochondrial outer membrane, mitochondrion organization, phospholipid transport, membrane, integral component of membrane, integral component of mitochondrial outer membrane, ERMES complex, protein insertion into mitochondrial outer membrane, establishment of mitochondrion localization, mitochondrial outer membrane translocase complex assembly, mitochondrion-endoplasmic reticulum membrane tethering"
"S000000009"	"S000000009"	"GO:0000812, GO:0003674, GO:0005634, GO:0005739, GO:0006325, GO:0006338, GO:0007029, GO:0043486"	"Swr1 complex, molecular_function, nucleus, mitochondrion, chromatin organization, chromatin remodeling, endoplasmic reticulum organization, histone exchange"
"S000000010"	"S000000010"	"GO:0003824, GO:0004123, GO:0005634, GO:0005737, GO:0008652, GO:0016829, GO:0016846, GO:0019343, GO:0019344, GO:0019346, GO:0030170, GO:0044540, GO:0047804, GO:0080146, GO:1904828"	"catalytic activity, cystathionine gamma-lyase activity, nucleus, cytoplasm, cellular amino acid biosynthetic process, lyase activity, carbon-sulfur lyase activity, cysteine biosynthetic process via cystathionine, cysteine biosynthetic process, transsulfuration, pyridoxal phosphate binding, L-cystine L-cysteine-lyase (deaminating), cysteine-S-conjugate beta-lyase activity, L-cysteine desulfhydrase activity, positive regulation of hydrogen sulfide biosynthetic process"
"S000000011"	"S000000011"	"GO:0000122, GO:0003674, GO:0004407, GO:0005634, GO:0005737, GO:0006325, GO:0006357, GO:0016575, GO:0030174, GO:0031939, GO:0033698, GO:0042826, GO:0045944, GO:0061186, GO:0061188, GO:0061408, GO:0070210, GO:0070822"	"negative regulation of transcription by RNA polymerase II, molecular_function, histone deacetylase activity, nucleus, cytoplasm, chromatin organization, regulation of transcription by RNA polymerase II, histone deacetylation, regulation of DNA-dependent DNA replication initiation, negative regulation of chromatin silencing at telomere, Rpd3L complex, histone deacetylase binding, positive regulation of transcription by RNA polymerase II, negative regulation of silent mating-type cassette heterochromatin assembly, negative regulation of ribosomal DNA heterochromatin assembly, positive regulation of transcription from RNA polymerase II promoter in response to heat stress, Rpd3L-Expanded complex, Sin3-type complex"
"S000000012"	"S000000012"	"GO:0000149, GO:0005484, GO:0005768, GO:0005886, GO:0006886, GO:0006887, GO:0006896, GO:0006906, GO:0010008, GO:0012505, GO:0015031, GO:0016020, GO:0016021, GO:0031201, GO:0048278"	"SNARE binding, SNAP receptor activity, endosome, plasma membrane, intracellular protein transport, exocytosis, Golgi to vacuole transport, vesicle fusion, endosome membrane, endomembrane system, protein transport, membrane, integral component of membrane, SNARE complex, vesicle docking"
"S000000013"	"S000000013"	"GO:0000703, GO:0003677, GO:0003824, GO:0003906, GO:0005634, GO:0005739, GO:0006281, GO:0006284, GO:0006285, GO:0006296, GO:0006974, GO:0008152, GO:0008534, GO:0016787, GO:0016798, GO:0016829, GO:0019104, GO:0034599, GO:0090297, GO:0140078"	"oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity, DNA binding, catalytic activity, DNA-(apurinic or apyrimidinic site) endonuclease activity, nucleus, mitochondrion, DNA repair, base-excision repair, base-excision repair, AP site formation, nucleotide-excision repair, DNA incision, 5'-to lesion, cellular response to DNA damage stimulus, metabolic process, oxidized purine nucleobase lesion DNA N-glycosylase activity, hydrolase activity, hydrolase activity, acting on glycosyl bonds, lyase activity, DNA N-glycosylase activity, cellular response to oxidative stress, positive regulation of mitochondrial DNA replication, class I DNA-(apurinic or apyrimidinic site) endonuclease activity"
