"gene_id"	"GO.ID"	"GO.names"
"FBgn0000003"	"FBgn0000003"	"GO:0005786, GO:0006614"	"signal recognition particle, endoplasmic reticulum targeting, SRP-dependent cotranslational protein targeting to membrane"
"FBgn0000008"	"FBgn0000008"	"GO:0003674, GO:0005912, GO:0016324, GO:0048749"	"molecular_function, adherens junction, apical plasma membrane, compound eye development"
"FBgn0000014"	"FBgn0000014"	"GO:0000122, GO:0000978, GO:0000981, GO:0000987, GO:0001742, GO:0003700, GO:0005634, GO:0005667, GO:0005704, GO:0006355, GO:0006915, GO:0007280, GO:0007399, GO:0007400, GO:0007422, GO:0007438, GO:0007494, GO:0007501, GO:0007506, GO:0007507, GO:0008354, GO:0008406, GO:0009952, GO:0010002, GO:0014019, GO:0035053, GO:0035224, GO:0035225, GO:0042694, GO:0043565, GO:0045944, GO:0048636, GO:0048738, GO:0048806, GO:0090575"	"negative regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, cis-regulatory region sequence-specific DNA binding, oenocyte differentiation, DNA-binding transcription factor activity, nucleus, transcription factor complex, polytene chromosome band, regulation of transcription, DNA-templated, apoptotic process, pole cell migration, nervous system development, neuroblast fate determination, peripheral nervous system development, oenocyte development, midgut development, mesodermal cell fate specification, gonadal mesoderm development, heart development, germ cell migration, gonad development, anterior/posterior pattern specification, cardioblast differentiation, neuroblast development, dorsal vessel heart proper cell fate commitment, genital disc anterior/posterior pattern formation, determination of genital disc primordium, muscle cell fate specification, sequence-specific DNA binding, positive regulation of transcription by RNA polymerase II, positive regulation of muscle organ development, cardiac muscle tissue development, genitalia development, RNA polymerase II transcription factor complex"
"FBgn0000015"	"FBgn0000015"	"GO:0000976, GO:0000978, GO:0003700, GO:0005634, GO:0005704, GO:0007280, GO:0007379, GO:0007385, GO:0007424, GO:0007431, GO:0007484, GO:0007486, GO:0007494, GO:0007506, GO:0007507, GO:0007548, GO:0007621, GO:0008354, GO:0008584, GO:0009997, GO:0030539, GO:0030540, GO:0035215, GO:0035224, GO:0035225, GO:0035261, GO:0035263, GO:0035277, GO:0045705, GO:0045843, GO:0045944, GO:0046693, GO:0048066, GO:0048071, GO:0048087, GO:0048094, GO:0061101, GO:1902339"	"transcription regulatory region sequence-specific DNA binding, RNA polymerase II cis-regulatory region sequence-specific DNA binding, DNA-binding transcription factor activity, nucleus, polytene chromosome band, pole cell migration, segment specification, specification of segmental identity, abdomen, open tracheal system development, salivary gland development, imaginal disc-derived genitalia development, imaginal disc-derived female genitalia development, midgut development, gonadal mesoderm development, heart development, sex differentiation, negative regulation of female receptivity, germ cell migration, male gonad development, negative regulation of cardioblast cell fate specification, male genitalia development, female genitalia development, genital disc development, genital disc anterior/posterior pattern formation, determination of genital disc primordium, external genitalia morphogenesis, genital disc sexually dimorphic development, spiracle morphogenesis, open tracheal system, negative regulation of salivary gland boundary specification, negative regulation of striated muscle tissue development, positive regulation of transcription by RNA polymerase II, sperm storage, developmental pigmentation, sex-specific pigmentation, positive regulation of developmental pigmentation, male pigmentation, neuroendocrine cell differentiation, positive regulation of apoptotic process involved in morphogenesis"
"FBgn0000017"	"FBgn0000017"	"GO:0001764, GO:0003382, GO:0003401, GO:0004713, GO:0004715, GO:0005515, GO:0005524, GO:0005737, GO:0005829, GO:0005911, GO:0005912, GO:0005927, GO:0005938, GO:0007268, GO:0007303, GO:0007370, GO:0007391, GO:0007409, GO:0007411, GO:0007417, GO:0007419, GO:0007611, GO:0008045, GO:0008064, GO:0008360, GO:0010592, GO:0010977, GO:0016199, GO:0018108, GO:0019897, GO:0021785, GO:0030424, GO:0031647, GO:0032880, GO:0045179, GO:0045886, GO:0046777, GO:0046827, GO:0048749, GO:0048813, GO:0070938, GO:0072499"	"neuron migration, epithelial cell morphogenesis, axis elongation, protein tyrosine kinase activity, non-membrane spanning protein tyrosine kinase activity, protein binding, ATP binding, cytoplasm, cytosol, cell-cell junction, adherens junction, muscle tendon junction, cell cortex, chemical synaptic transmission, cytoplasmic transport, nurse cell to oocyte, ventral furrow formation, dorsal closure, axonogenesis, axon guidance, central nervous system development, ventral cord development, learning or memory, motor neuron axon guidance, regulation of actin polymerization or depolymerization, regulation of cell shape, positive regulation of lamellipodium assembly, negative regulation of neuron projection development, axon midline choice point recognition, peptidyl-tyrosine phosphorylation, extrinsic component of plasma membrane, branchiomotor neuron axon guidance, axon, regulation of protein stability, regulation of protein localization, apical cortex, negative regulation of synaptic growth at neuromuscular junction, protein autophosphorylation, positive regulation of protein export from nucleus, compound eye development, dendrite morphogenesis, contractile ring, photoreceptor cell axon guidance"
"FBgn0000018"	"FBgn0000018"	"GO:0000122, GO:0003682, GO:0005634, GO:0005700, GO:0048477"	"negative regulation of transcription by RNA polymerase II, chromatin binding, nucleus, polytene chromosome, oogenesis"
"FBgn0000022"	"FBgn0000022"	"GO:0000977, GO:0003677, GO:0003700, GO:0005634, GO:0005667, GO:0006355, GO:0006357, GO:0006963, GO:0007346, GO:0007399, GO:0007400, GO:0007417, GO:0007419, GO:0007422, GO:0007423, GO:0008134, GO:0008407, GO:0030182, GO:0043565, GO:0045944, GO:0046982, GO:0050767, GO:0061331, GO:0061382, GO:0090575"	"RNA polymerase II regulatory region sequence-specific DNA binding, DNA binding, DNA-binding transcription factor activity, nucleus, transcription factor complex, regulation of transcription, DNA-templated, regulation of transcription by RNA polymerase II, positive regulation of antibacterial peptide biosynthetic process, regulation of mitotic cell cycle, nervous system development, neuroblast fate determination, central nervous system development, ventral cord development, peripheral nervous system development, sensory organ development, transcription factor binding, chaeta morphogenesis, neuron differentiation, sequence-specific DNA binding, positive regulation of transcription by RNA polymerase II, protein heterodimerization activity, regulation of neurogenesis, epithelial cell proliferation involved in Malpighian tubule morphogenesis, Malpighian tubule tip cell differentiation, RNA polymerase II transcription factor complex"
"FBgn0000024"	"FBgn0000024"	"GO:0001507, GO:0003990, GO:0004104, GO:0005737, GO:0005886, GO:0006581, GO:0007268, GO:0042426"	"acetylcholine catabolic process in synaptic cleft, acetylcholinesterase activity, cholinesterase activity, cytoplasm, plasma membrane, acetylcholine catabolic process, chemical synaptic transmission, choline catabolic process"
"FBgn0000028"	"FBgn0000028"	"GO:0001228, GO:0003700, GO:0003714, GO:0005634, GO:0007411, GO:0007636, GO:0008039, GO:0030154, GO:0043565, GO:0045944, GO:0048813, GO:0050911, GO:0070983"	"DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, transcription corepressor activity, nucleus, axon guidance, chemosensory jump behavior, synaptic target recognition, cell differentiation, sequence-specific DNA binding, positive regulation of transcription by RNA polymerase II, dendrite morphogenesis, detection of chemical stimulus involved in sensory perception of smell, dendrite guidance"
"FBgn0000032"	"FBgn0000032"	"GO:0003993, GO:0005634, GO:0016311, GO:0042803, GO:0070062"	"acid phosphatase activity, nucleus, dephosphorylation, protein homodimerization activity, extracellular exosome"
"FBgn0000036"	"FBgn0000036"	"GO:0005887, GO:0005892, GO:0007165, GO:0007268, GO:0007271, GO:0015464, GO:0017085, GO:0022848, GO:0034220, GO:0042391, GO:0043005, GO:0045202, GO:0045211, GO:0050877, GO:0098655"	"integral component of plasma membrane, acetylcholine-gated channel complex, signal transduction, chemical synaptic transmission, synaptic transmission, cholinergic, acetylcholine receptor activity, response to insecticide, acetylcholine-gated cation-selective channel activity, ion transmembrane transport, regulation of membrane potential, neuron projection, synapse, postsynaptic membrane, nervous system process, cation transmembrane transport"
"FBgn0000037"	"FBgn0000037"	"GO:0004930, GO:0004993, GO:0005887, GO:0007187, GO:0007197, GO:0007200, GO:0007213, GO:0007268, GO:0008227, GO:0016021, GO:0016907, GO:0030425, GO:0030594, GO:0045202"	"G protein-coupled receptor activity, G protein-coupled serotonin receptor activity, integral component of plasma membrane, G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger, adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway, phospholipase C-activating G protein-coupled receptor signaling pathway, G protein-coupled acetylcholine receptor signaling pathway, chemical synaptic transmission, G protein-coupled amine receptor activity, integral component of membrane, G protein-coupled acetylcholine receptor activity, dendrite, neurotransmitter receptor activity, synapse"
"FBgn0000038"	"FBgn0000038"	"GO:0004888, GO:0005887, GO:0005892, GO:0007165, GO:0007268, GO:0007271, GO:0022848, GO:0034220, GO:0042391, GO:0043005, GO:0045202, GO:0045211, GO:0050877"	"transmembrane signaling receptor activity, integral component of plasma membrane, acetylcholine-gated channel complex, signal transduction, chemical synaptic transmission, synaptic transmission, cholinergic, acetylcholine-gated cation-selective channel activity, ion transmembrane transport, regulation of membrane potential, neuron projection, synapse, postsynaptic membrane, nervous system process"
"FBgn0000039"	"FBgn0000039"	"GO:0005887, GO:0005892, GO:0007165, GO:0007268, GO:0007271, GO:0015464, GO:0022848, GO:0034220, GO:0042391, GO:0043005, GO:0045202, GO:0045211, GO:0050877, GO:0098655"	"integral component of plasma membrane, acetylcholine-gated channel complex, signal transduction, chemical synaptic transmission, synaptic transmission, cholinergic, acetylcholine receptor activity, acetylcholine-gated cation-selective channel activity, ion transmembrane transport, regulation of membrane potential, neuron projection, synapse, postsynaptic membrane, nervous system process, cation transmembrane transport"
"FBgn0000042"	"FBgn0000042"	"GO:0000281, GO:0006338, GO:0007291, GO:0015629, GO:0031011, GO:0032507, GO:0035060, GO:0035148"	"mitotic cytokinesis, chromatin remodeling, sperm individualization, actin cytoskeleton, Ino80 complex, maintenance of protein location in cell, brahma complex, tube formation"
"FBgn0000043"	"FBgn0000043"	"GO:0000281, GO:0015629, GO:0035060"	"mitotic cytokinesis, actin cytoskeleton, brahma complex"
