"gene_id"	"GO.ID"	"GO.names"
"WBGene00000001"	"WBGene00000001"	"GO:0005942, GO:0008286, GO:0008340, GO:0016301, GO:0016310, GO:0019901, GO:0035014, GO:0040024, GO:0043551, GO:0046854, GO:0046935"	"phosphatidylinositol 3-kinase complex, insulin receptor signaling pathway, determination of adult lifespan, kinase activity, phosphorylation, protein kinase binding, phosphatidylinositol 3-kinase regulator activity, dauer larval development, regulation of phosphatidylinositol 3-kinase activity, phosphatidylinositol phosphorylation, 1-phosphatidylinositol-3-kinase regulator activity"
"WBGene00000002"	"WBGene00000002"	"GO:0003333, GO:0005886, GO:0005887, GO:0015179, GO:0015297, GO:0016020, GO:0016021, GO:1902475, GO:1990184"	"amino acid transmembrane transport, plasma membrane, integral component of plasma membrane, L-amino acid transmembrane transporter activity, antiporter activity, membrane, integral component of membrane, L-alpha-amino acid transmembrane transport, amino acid transport complex"
"WBGene00000003"	"WBGene00000003"	"GO:0003333, GO:0005887, GO:0015171, GO:0015179, GO:0015297, GO:0016020, GO:0016021, GO:1902475"	"amino acid transmembrane transport, integral component of plasma membrane, amino acid transmembrane transporter activity, L-amino acid transmembrane transporter activity, antiporter activity, membrane, integral component of membrane, L-alpha-amino acid transmembrane transport"
"WBGene00000004"	"WBGene00000004"	"GO:0003333, GO:0005886, GO:0005887, GO:0015171, GO:0015179, GO:0015297, GO:0016020, GO:0016021, GO:1902475, GO:1990184"	"amino acid transmembrane transport, plasma membrane, integral component of plasma membrane, amino acid transmembrane transporter activity, L-amino acid transmembrane transporter activity, antiporter activity, membrane, integral component of membrane, L-alpha-amino acid transmembrane transport, amino acid transport complex"
"WBGene00000005"	"WBGene00000005"	"GO:0003333, GO:0005887, GO:0015171, GO:0015179, GO:0015297, GO:0016020, GO:0016021, GO:1902475"	"amino acid transmembrane transport, integral component of plasma membrane, amino acid transmembrane transporter activity, L-amino acid transmembrane transporter activity, antiporter activity, membrane, integral component of membrane, L-alpha-amino acid transmembrane transport"
"WBGene00000006"	"WBGene00000006"	"GO:0003333, GO:0005887, GO:0015171, GO:0015179, GO:0015297, GO:0016020, GO:0016021, GO:1902475"	"amino acid transmembrane transport, integral component of plasma membrane, amino acid transmembrane transporter activity, L-amino acid transmembrane transporter activity, antiporter activity, membrane, integral component of membrane, L-alpha-amino acid transmembrane transport"
"WBGene00000007"	"WBGene00000007"	"GO:0003333, GO:0005887, GO:0015171, GO:0015179, GO:0015297, GO:0016020, GO:0016021, GO:1902475"	"amino acid transmembrane transport, integral component of plasma membrane, amino acid transmembrane transporter activity, L-amino acid transmembrane transporter activity, antiporter activity, membrane, integral component of membrane, L-alpha-amino acid transmembrane transport"
"WBGene00000008"	"WBGene00000008"	"GO:0003333, GO:0005887, GO:0015171, GO:0015179, GO:0015297, GO:0016020, GO:0016021, GO:1902475"	"amino acid transmembrane transport, integral component of plasma membrane, amino acid transmembrane transporter activity, L-amino acid transmembrane transporter activity, antiporter activity, membrane, integral component of membrane, L-alpha-amino acid transmembrane transport"
"WBGene00000009"	"WBGene00000009"	"GO:0005887, GO:0015171, GO:0015179, GO:0015297, GO:0016020, GO:0016021, GO:1902475"	"integral component of plasma membrane, amino acid transmembrane transporter activity, L-amino acid transmembrane transporter activity, antiporter activity, membrane, integral component of membrane, L-alpha-amino acid transmembrane transport"
"WBGene00000010"	"WBGene00000010"	"GO:0003333, GO:0005887, GO:0009986, GO:0015171, GO:0015179, GO:0015297, GO:0016020, GO:0016021, GO:1902475"	"amino acid transmembrane transport, integral component of plasma membrane, cell surface, amino acid transmembrane transporter activity, L-amino acid transmembrane transporter activity, antiporter activity, membrane, integral component of membrane, L-alpha-amino acid transmembrane transport"
"WBGene00000011"	"WBGene00000011"	"GO:0000278, GO:0009792, GO:0040025"	"mitotic cell cycle, embryo development ending in birth or egg hatching, vulval development"
"WBGene00000012"	"WBGene00000012"	"GO:0005576, GO:0098542"	"extracellular region, defense response to other organism"
"WBGene00000013"	"WBGene00000013"	"GO:0003674, GO:0005576, GO:0031640, GO:0042742, GO:0050829, GO:0050830, GO:0050832, GO:0098542"	"molecular_function, extracellular region, killing of cells of other organism, defense response to bacterium, defense response to Gram-negative bacterium, defense response to Gram-positive bacterium, defense response to fungus, defense response to other organism"
"WBGene00000018"	"WBGene00000018"	"GO:0000077, GO:0000166, GO:0004672, GO:0004713, GO:0004715, GO:0005102, GO:0005515, GO:0005524, GO:0005737, GO:0005886, GO:0006468, GO:0007169, GO:0007283, GO:0010212, GO:0016020, GO:0016301, GO:0016310, GO:0016740, GO:0030154, GO:0030336, GO:0031234, GO:0038083, GO:0042127, GO:0043066, GO:0043518, GO:0045087, GO:0050829, GO:0050832, GO:1901075"	"DNA damage checkpoint, nucleotide binding, protein kinase activity, protein tyrosine kinase activity, non-membrane spanning protein tyrosine kinase activity, receptor binding, protein binding, ATP binding, cytoplasm, plasma membrane, protein phosphorylation, transmembrane receptor protein tyrosine kinase signaling pathway, spermatogenesis, response to ionizing radiation, membrane, kinase activity, phosphorylation, transferase activity, cell differentiation, negative regulation of cell migration, extrinsic component of cytoplasmic side of plasma membrane, peptidyl-tyrosine autophosphorylation, regulation of cell proliferation, negative regulation of apoptotic process, negative regulation of DNA damage response, signal transduction by p53 class mediator, innate immune response, defense response to Gram-negative bacterium, defense response to fungus, negative regulation of engulfment of apoptotic cell"
