"gene_id"	"brief.description"
"1"	"ENSG00000000003"	"tetraspanin 6"
"2"	"ENSG00000000005"	"tenomodulin"
"3"	"ENSG00000000419"	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"4"	"ENSG00000000457"	"SCY1 like pseudokinase 3"
"5"	"ENSG00000000460"	"chromosome 1 open reading frame 112"
"6"	"ENSG00000000938"	"FGR proto-oncogene, Src family tyrosine kinase"
"7"	"ENSG00000000971"	"complement factor H"
"8"	"ENSG00000001036"	"alpha-L-fucosidase 2"
"9"	"ENSG00000001084"	"glutamate-cysteine ligase catalytic subunit"
"10"	"ENSG00000001167"	"nuclear transcription factor Y subunit alpha"
"11"	"ENSG00000001460"	"sperm tail PG-rich repeat containing 1"
"12"	"ENSG00000001461"	"NIPA like domain containing 3"
"13"	"ENSG00000001497"	"LAS1 like ribosome biogenesis factor"
"14"	"ENSG00000001561"	"ectonucleotide pyrophosphatase/phosphodiesterase 4"
"15"	"ENSG00000001617"	"semaphorin 3F"
"16"	"ENSG00000001626"	"CF transmembrane conductance regulator"
"17"	"ENSG00000001629"	"ankyrin repeat and IBR domain containing 1"
"18"	"ENSG00000001630"	"cytochrome P450 family 51 subfamily A member 1"
"19"	"ENSG00000002016"	"RAD52 homolog, DNA repair protein"
"20"	"ENSG00000002079"	""
"21"	"ENSG00000002330"	"BCL2 associated agonist of cell death"
"22"	"ENSG00000002549"	"leucine aminopeptidase 3"
"23"	"ENSG00000002586"	"CD99 molecule (Xg blood group)"
"24"	"ENSG00000002587"	"heparan sulfate-glucosamine 3-sulfotransferase 1"
"25"	"ENSG00000002726"	"amine oxidase copper containing 1"
"26"	"ENSG00000002745"	"Wnt family member 16"
"27"	"ENSG00000002746"	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"28"	"ENSG00000002822"	"mitotic arrest deficient 1 like 1"
"29"	"ENSG00000002834"	"LIM and SH3 protein 1"
"30"	"ENSG00000002919"	"sorting nexin 11"
"31"	"ENSG00000002933"	"transmembrane protein 176A"
"32"	"ENSG00000003056"	"mannose-6-phosphate receptor, cation dependent"
"33"	"ENSG00000003096"	"kelch like family member 13"
"34"	"ENSG00000003137"	"cytochrome P450 family 26 subfamily B member 1"
"35"	"ENSG00000003147"	"islet cell autoantigen 1"
"36"	"ENSG00000003249"	"dysbindin domain containing 1"
"37"	"ENSG00000003393"	"alsin Rho guanine nucleotide exchange factor ALS2"
"38"	"ENSG00000003400"	"caspase 10"
"39"	"ENSG00000003402"	"CASP8 and FADD like apoptosis regulator"
"40"	"ENSG00000003436"	"tissue factor pathway inhibitor"
"41"	"ENSG00000003509"	"NADH:ubiquinone oxidoreductase complex assembly factor 7"
"42"	"ENSG00000003756"	"RNA binding motif protein 5"
"43"	"ENSG00000003987"	"myotubularin related protein 7"
"44"	"ENSG00000003989"	"solute carrier family 7 member 2"
"45"	"ENSG00000004059"	"ADP ribosylation factor 5"
"46"	"ENSG00000004139"	"sterile alpha and TIR motif containing 1"
"47"	"ENSG00000004142"	"DNA polymerase delta interacting protein 2"
"48"	"ENSG00000004399"	"plexin D1"
"49"	"ENSG00000004455"	"adenylate kinase 2"
"50"	"ENSG00000004468"	"CD38 molecule"
"51"	"ENSG00000004478"	"FKBP prolyl isomerase 4"
"52"	"ENSG00000004487"	"lysine demethylase 1A"
"53"	"ENSG00000004534"	"RNA binding motif protein 6"
"54"	"ENSG00000004660"	"calcium/calmodulin dependent protein kinase kinase 1"
"55"	"ENSG00000004700"	"RecQ like helicase"
"56"	"ENSG00000004766"	"VPS50 subunit of EARP/GARPII complex"
"57"	"ENSG00000004776"	"heat shock protein family B (small) member 6"
"58"	"ENSG00000004777"	"Rho GTPase activating protein 33"
"59"	"ENSG00000004779"	"NADH:ubiquinone oxidoreductase subunit AB1"
"60"	"ENSG00000004799"	"pyruvate dehydrogenase kinase 4"
"61"	"ENSG00000004809"	"solute carrier family 22 member 16"
"62"	"ENSG00000004838"	"zinc finger MYND-type containing 10"
"63"	"ENSG00000004846"	"ATP binding cassette subfamily B member 5"
